title,year,certificate,duration,gross,country,director,genre,ratings
Witness for the Prosecution,1957,Approved,1h 56m,,United States,Billy Wilder,Crime,8.4
Aliens,1986,R,2h 17m,"$131,060,248 ",United Kingdom,James Cameron,Action,8.3
Spider-Man: Into the Spider-Verse,2018,PG,1h 57m,"$384,256,930 ",Canada,Bob Persichetti,Animation,8.3
American Beauty,1999,R,2h 2m,"$356,296,601 ",United States,Sam Mendes,Drama,8.3
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,1h 35m,"$9,523,464 ",United Kingdom,Stanley Kubrick,Comedy,8.3
The Dark Knight Rises,2012,PG-13,2h 44m,"$1,081,169,825 ",United States,Christopher Nolan,Action,8.3
Inglourious Basterds,2009,R,2h 33m,"$321,457,747 ",Germany,Quentin Tarantino,Adventure,8.3
Oldboy,2003,R,2h,"$15,421,226 ",South Korea,Park Chan-wook,Action,8.3
Amadeus,1984,PG,2h 40m,"$52,066,791 ",United States,Milos Forman,Biography,8.3
Coco,2017,PG,1h 45m,"$814,337,054 ",United States,Lee Unkrich,Animation,8.3
Toy Story,1995,G,1h 21m,"$394,436,586 ",United States,John Lasseter,Animation,8.3
Braveheart,1995,R,2h 58m,"$213,216,216 ",United States,Mel Gibson,Biography,8.3
Joker,2019,R,2h 2m,"$1,074,458,282 ",United States,Todd Phillips,Crime,8.3
Das Boot,1981,,,"$11,487,676 ",West Germany,Wolfgang Petersen,Drama,8.3
Avengers: Endgame,2019,PG-13,3h 1m,"$2,799,439,100 ",United States,Anthony Russo,Action,8.3
Princess Mononoke,1997,PG-13,2h 14m,"$169,971,552 ",Japan,Hayao Miyazaki,Animation,8.3
Good Will Hunting,1997,R,2h 6m,"$225,933,435 ",United States,Gus Van Sant,Drama,8.3
Once Upon a Time in America,1984,R,3h 49m,"$5,474,090 ",Italy,Sergio Leone,Crime,8.3
Your Name.,2016,TV-PG,1h 46m,"$382,238,181 ",Japan,Makoto Shinkai,Animation,8.3
Singin' in the Rain,1952,G,1h 43m,"$2,000,288 ",United States,Stanley Donen,Comedy,8.3
3 Idiots,2009,PG-13,2h 50m,"$60,262,836 ",India,Rajkumar Hirani,Comedy,8.3
Requiem for a Dream,2000,Unrated,1h 42m,"$7,390,108 ",United States,Darren Aronofsky,Drama,8.3
High and Low,1963,Not Rated,2h 23m,,Japan,Akira Kurosawa,Crime,8.3
Toy Story 3,2010,G,1h 43m,"$1,067,316,101 ",United States,Lee Unkrich,Animation,8.3
Capernaum,2018,R,2h 6m,"$64,417,003 ",Lebanon,Nadine Labaki,Drama,8.3
Star Wars: Episode VI - Return of the Jedi,1983,PG,2h 11m,"$475,106,177 ",United States,Richard Marquand,Action,8.3
2001: A Space Odyssey,1968,G,2h 29m,"$66,209,102 ",United Kingdom,Stanley Kubrick,Adventure,8.3
